phonemes,mouth,happy,sad
aa_E,a_e_,a_e__h.png,a_e__s.png
aa_S,a_e_,a_e__h.png,a_e__s.png
ae_E,a_e_,a_e__h.png,a_e__s.png
ah_E,a_e_,a_e__h.png,a_e__s.png
ah_S,a_e_,a_e__h.png,a_e__s.png
ao_E,a_e_,a_e__h.png,a_e__s.png
aw_E,a_e_,a_e__h.png,a_e__s.png
ay_E,a_e_,a_e__h.png,a_e__s.png
ay_S,a_e_,a_e__h.png,a_e__s.png
b_E,m_b_close_,m_b_close__h.png,m_b_close__s.png
ch_E,d_j_ch_,d_j_ch__h.png,d_j_ch__s.png
d_E,d_j_ch_,d_j_ch__h.png,d_j_ch__s.png
dh_E,d_j_ch_,d_j_ch__h.png,d_j_ch__s.png
er_E,a_e_,a_e__h.png,a_e__s.png
er_S,a_e_,a_e__h.png,a_e__s.png
ey_E,a_e_,a_e__h.png,a_e__s.png
ey_S,a_e_,a_e__h.png,a_e__s.png
f_E,f_,f__h.png,f__s.png
g_E,d_j_ch_,d_j_ch__h.png,d_j_ch__s.png
ih_E,a_e_,a_e__h.png,a_e__s.png
iy_E,a_e_,a_e__h.png,a_e__s.png
jh_E,d_j_ch_,d_j_ch__h.png,d_j_ch__s.png
k_E,a_e_,a_e__h.png,a_e__s.png
l_E,a_e_,a_e__h.png,a_e__s.png
m_E,m_b_close_,m_b_close_h.png,m_b_close_s.png
n_E,th_,th__h.png,th__s.png
ng_E,th_,th__h.png,th__s.png
oov_S,o_small_,o_small__h.png,o_small__s.png
ow_E,o_small_,o_small__h.png,o_small__s.png
ow_S,o_small_,o_small__h.png,o_small__s.png
oy_E,o_big_,o_big__h.png,o_big__s.png
p_E,m_b_close_,m_b_close__h.png,m_b_close__s.png
r_E,th_,th__h.png,th__s.png
s_E,th_,th__h.png,th__s.png
s_I,th_,th__h.png,th__s.png
sh_E,th_,th__h.png,th__s.png
t_E,th_,th__h.png,th__s.png
t_I,th_,th__h.png,th__s.png
th_E,th_,th__h.png,th__s.png
uw_E,o_small_,o_small__h.png,o_small__s.png
uw_S,o_small_,o_small__h.png,o_small__s.png
v_E,f_,f__h.png,f__s.png
z_E,th_,th__h.png,th__s.png
zh_E,th_,th__h.png,th__s.png
